Attribute,Description
Hobby,Do you code as a hobby?
OpenSource,Do you contribute to open source projects?
FormalEducation,Which of the following best describes the highest level of formal education that you’ve completed?
CompanySize,Approximately how many people are employed by the company or organization you work for?
JobSatisfaction,"How satisfied are you with your current job? If you work more than one job, please answer regarding the one you spend the most hours on."
ConvertedSalary,"Salary converted to annual USD salaries using the exchange rate on 2018-01-18, assuming 12 working months and 50 working weeks."
NumberMonitors,How many monitors are set up at your workstation?
EthicsChoice,Imagine that you were asked to write code for a purpose or product that you consider extremely unethical. Do you write the code anyway?
HoursComputer,"On a typical day, how much time do you spend on a desktop or laptop computer?"
HoursOutside,"On a typical day, how much time do you spend outside?"
SkipMeals,"In a typical week, how many times do you skip a meal in order to be more productive?"
Exercise,"In a typical week, how many times do you exercise?"
Gender,"Which of the following do you currently identify as? Please select all that apply. If you prefer not to answer, you may leave this question blank."
RaceEthnicity,"Which of the following do you identify as? Please check all that apply. If you prefer not to answer, you may leave this question blank."
Age,"What is your age? If you prefer not to answer, you may leave this question blank."
